Date,product_category_name,total_pedidos,ticket_medio,ticket_mediana,parcelas_media,parcelas_mediana,faturamento_total
2017-06-01,casa_construcao,1,595.0,595.0,10.0,10.0,595.0
2017-06-01,cine_foto,1,79.0,79.0,3.0,3.0,79.0
2017-06-01,climatizacao,5,237.156,103.95,3.6,3.0,1185.78
2017-06-01,consoles_games,23,219.9534782608696,119.80000000000001,5.043478260869565,4.0,5058.93
2017-06-01,construcao_ferramentas_construcao,4,108.5925,109.875,4.75,3.5,434.37
2017-06-01,construcao_ferramentas_jardim,2,197.35000000000002,197.35000000000002,10.0,10.0,394.70000000000005
2017-06-01,cool_stuff,153,200.10718954248367,119.99,4.73202614379085,4.0,30616.4
2017-06-01,dvds_blu_ray,4,31.6725,19.9,2.75,3.0,126.69
2017-06-01,eletrodomesticos,29,65.14137931034483,42.0,3.0344827586206895,2.0,1889.1
2017-06-01,eletrodomesticos_2,3,201.66,205.99,8.0,8.0,604.98
2017-06-01,eletronicos,25,62.5872,40.0,2.48,2.0,1564.68
2017-06-01,eletroportateis,18,259.5566666666667,136.49,6.222222222222222,6.0,4672.02
2017-06-01,esporte_lazer,191,137.58256544502618,79.8,3.418848167539267,3.0,26278.27
2017-06-01,fashion_bolsas_e_acessorios,61,97.21049180327869,59.8,3.7049180327868854,3.0,5929.84
2017-06-01,fashion_calcados,15,84.892,71.82,3.1333333333333333,3.0,1273.3799999999999
2017-06-01,fashion_esporte,4,83.9225,64.9,3.75,4.0,335.69
2017-06-01,fashion_roupa_feminina,3,51.6,64.9,3.6666666666666665,3.0,154.8
2017-06-01,fashion_roupa_infanto_juvenil,1,110.0,110.0,1.0,1.0,110.0
2017-06-01,fashion_roupa_masculina,7,82.01285714285714,74.69999999999999,2.5714285714285716,1.0,574.09
2017-06-01,ferramentas_jardim,80,174.763125,102.945,4.2125,3.0,13981.050000000001
